Suburb_Cod,Census_2011,easting,northing,x,y,totpedcr,totpedcr_after,ksi,popu,logpopu,popudens,children,yadults,hdpg,loweduc,avgeduc,informdwe,lowinc,unemplorate,lum,comuse,locbuse,gbuse,ginduse,freexpres,arterials,locdistr,rdnetwork,psl60,psl80,psl100,avgpsl,rintocul,int4plusleg,signalint,pctsingalint,intdens,linintdens,strdens,busrtes,brtrtes,railsta,mbustaxirtes,distocbd,nonrezuse
10,Bellville Teachers' Training College,-29646.39312,-3757073.773,18.679324,-33.940192,4,,0,462,2.665,1760.255,9.162,59.939,95.360,0.000,36.896,0.000,0.000,0.000,0.057,23.881,0.000,0.000,0.000,0.000,0.000,0.000,0.085,100.000,0.000,0.000,60.000,7.333,3.000,1.000,4.545,83.797,258.824,0.324,1.225,0.000,0.000,0.000,29.900,23.880
13,Bishopscourt,-51269.1149,-3762808.368,18.445109,-33.991058,3,,0,1706,3.232,736.851,19.596,13.401,22.770,4.070,29.394,0.000,19.940,3.472,0.203,0.000,0.099,0.000,0.000,1.523,1.251,0.000,23.742,100.015,0.000,0.000,60.310,4.867,19.000,3.000,4.110,31.537,3.075,10.257,20.662,0.000,0.000,4.636,13.500,0.100
23,Cape Peninsula National Park,-54190.72426,-3787434.455,18.411998,-34.212987,1,,0,305,2.484,1.856,17.783,23.626,65.830,15.483,51.945,4.157,43.430,9.938,0.136,7.650,0.000,0.000,0.000,2.507,33.328,0.000,89.453,74.570,9.171,0.000,47.640,1.962,11.000,0.000,0.000,0.944,1.733,0.545,70.021,0.000,0.000,13.281,46.500,7.650
28,Castle Rock,-48449.26325,-3790063.123,18.474109,-34.236887,0,,0,5908,3.771,13182.857,9.171,25.727,96.546,11.769,76.181,0.000,13.828,10.055,0.000,0.000,0.000,0.000,0.000,0.000,2.289,0.000,4.383,0.000,0.000,0.000,60.000,2.000,0.000,0.000,0.000,17.851,1.825,9.780,0.000,0.000,0.000,0.000,48.400,0.000
32,Clovelly,-52427.52971,-3777246.197,18.431705,-34.121155,1,,0,598,2.777,144.364,13.348,11.778,9.824,0.579,52.173,0.195,20.904,6.506,0.201,0.000,0.000,0.000,0.000,0.000,0.888,0.000,6.785,6.914,0.000,0.000,46.290,2.286,4.000,1.000,6.250,3.859,2.358,1.637,17.832,0.000,1.000,8.611,34.700,0.000
37,Da Gama Park,-54888.65551,-3781550.367,18.404756,-34.159829,0,,0,2467,3.392,1504.947,25.345,15.710,57.735,1.608,72.749,0.193,14.394,6.865,0.086,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10.603,56.314,55.407,55.407,76.330,2.533,3.000,0.000,0.000,23.181,3.584,6.468,4.999,0.000,0.000,3.026,41.600,0.000
48,Erinvale Golf Estate,-10883.97418,-3770773.165,18.8821,-34.064058,1,,0,554,2.744,354.374,11.002,8.519,2.757,1.257,35.235,0.000,8.067,1.916,0.228,0.000,0.000,1.929,0.000,0.000,0.000,0.000,8.036,7.221,0.000,0.000,40.750,1.100,3.000,0.000,0.000,21.099,4.107,5.138,0.000,0.000,0.000,12.427,53.200,1.930
79,Kleine Zout Rivier Small Holdings,-49169.27704,-3729364.92,18.469701,-33.689661,0,,0,294,2.469,34.787,26.623,17.250,71.174,35.089,58.197,34.438,82.714,19.231,0.000,0.000,0.000,0.000,0.000,1.442,0.000,0.000,2.114,100.000,100.000,100.000,120.000,2.000,0.000,0.000,0.000,1.182,4.730,0.250,151.233,8.393,0.000,110.008,45.300,0.000
91,Llandudno,-60818.2243,-3765597.221,18.34157,-34.015689,0,,0,614,2.788,212.289,16.132,8.131,12.565,1.185,32.069,0.175,23.450,7.682,0.353,0.956,0.000,0.000,0.000,0.000,0.723,0.000,9.804,77.641,4.584,4.584,51.430,1.833,0.000,0.000,0.000,11.409,3.366,3.390,2.892,2.331,0.000,1.943,16.100,0.960
110,Morning Star Small Holdings,-43345.71584,-3736300.303,18.532167,-33.752439,0,,0,519,2.715,355.299,18.714,14.452,23.262,4.871,67.024,1.666,25.839,9.083,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.339,4.582,9.567,0.000,0.000,50.000,1.286,0.000,0.000,0.000,6.164,1.964,3.138,0.380,0.000,0.000,0.000,32.000,0.000
128,Pella,-44444.13056,-3712694.263,18.521492,-33.539573,1,,0,1692,3.228,3382.062,27.674,16.123,99.136,22.511,73.763,5.670,76.569,29.012,0.286,1.554,0.000,0.437,0.000,0.000,0.000,0.450,6.593,100.000,15.283,15.283,69.630,3.111,8.000,0.000,0.000,55.966,4.247,13.178,26.905,7.358,0.000,22.635,57.600,1.990
129,Philadelphia,-38691.31193,-3726766.033,18.582818,-33.666663,0,,0,590,2.771,1371.722,30.650,13.059,65.069,26.903,54.788,5.806,43.334,12.286,0.237,0.000,0.000,0.206,2.312,0.000,0.318,0.000,3.559,32.406,10.248,10.248,47.140,2.000,4.000,0.000,0.000,27.895,3.372,8.273,0.000,0.000,0.000,1.088,41.200,2.520
136,Pollsmoor,-51635.46777,-3771554.264,18.440627,-34.069883,0,,0,2279,3.358,1826.815,9.119,41.689,92.672,2.313,82.619,0.000,13.033,2.829,0.000,0.000,0.000,0.000,0.000,0.785,0.099,0.000,2.097,100.000,60.655,60.655,90.000,11.000,13.000,0.000,0.000,35.272,20.982,1.681,4.295,0.000,0.000,6.171,21.800,0.000
140,Robben Island,-58414.87716,-3742264.372,18.36914,-33.805483,0,,0,125,2.096,24.086,18.988,18.309,83.726,2.928,74.107,0.000,38.401,3.694,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.000,0.000,0.000,0.000,5.018,0.000,0.000,0.000,0.000,0.000,0.000,13.800,0.000
145,Scarborough,-57149.68939,-3785506.378,18.379977,-34.195369,0,,0,1150,3.061,298.676,23.352,10.485,26.528,1.714,49.104,2.298,26.047,4.213,0.106,0.903,0.000,0.290,0.000,0.000,3.651,0.000,9.340,29.468,4.317,4.317,46.280,1.696,4.000,0.000,0.000,10.129,4.176,2.426,3.387,0.000,0.000,0.000,47.100,1.190
149,Sheraton Park,-49131.40171,-3772384.135,18.467706,-34.077484,1,,0,3153,3.499,10171.191,27.326,16.560,99.457,14.683,70.098,1.198,65.116,18.836,0.343,0.194,0.000,13.937,0.000,0.000,0.289,0.000,5.617,94.807,0.000,0.000,57.040,3.417,8.000,0.000,0.000,132.255,7.299,18.119,12.293,0.000,0.000,9.318,24.700,14.130
137,Red Hill,-54486.23271,-3786126.82,18.408832,-34.201105,1,,0,1102,3.042,3238.741,24.159,17.722,97.238,24.349,71.629,95.083,95.742,35.229,0.039,0.000,0.000,0.000,114.065,0.000,1.054,0.000,1.904,100.000,0.000,0.000,60.000,1.429,0.000,0.000,0.000,29.397,5.252,5.597,3.606,0.000,0.000,0.000,45.500,114.060
155,Somerset West Non Urban,-7877.108619,-3777268.093,18.914578,-34.122685,1,,0,1652,3.218,7.794,23.217,13.222,48.817,12.407,54.000,0.648,24.494,8.028,0.244,0.000,1.439,0.000,0.000,24.565,0.261,0.178,61.317,66.873,49.386,26.095,59.610,2.111,6.000,1.000,1.316,0.358,1.239,0.289,0.000,0.000,0.000,20.940,54.400,1.440
172,Tokai,-51672.71974,-3770543.905,18.440284,-34.060773,7,,0,3928,3.594,2256.825,16.920,10.271,12.531,0.896,39.308,0.000,8.349,2.162,0.222,3.728,0.000,0.531,0.000,0.659,2.235,0.000,28.194,94.190,5.838,4.559,57.500,2.489,21.000,2.000,1.709,67.218,4.150,16.198,6.333,0.000,0.000,14.117,21.500,4.260
174,University of Cape Town,-49841.16477,-3759032.165,18.460779,-33.957084,1,,0,505,2.703,1163.465,0.485,96.873,65.552,0.000,0.000,0.000,0.000,0.000,0.090,36.334,0.000,0.000,0.000,1.348,0.266,0.000,2.685,100.000,50.139,0.000,70.000,2.083,2.000,0.000,0.000,57.616,9.311,6.188,0.000,0.000,0.000,0.000,7.500,36.330
177,Vissershok,-42286.39295,-3737896.498,18.543525,-33.766872,0,,0,351,2.546,686.010,30.373,18.135,100.000,51.409,48.591,77.922,96.433,59.156,0.000,0.000,0.000,0.000,0.000,0.168,0.000,0.000,0.204,100.000,99.368,99.368,100.000,1.600,0.000,0.000,0.000,15.628,39.216,0.399,2.842,0.000,0.000,6.004,26.700,0.000
189,Zeekoei Vlei,-46202.35225,-3771308.944,18.499496,-34.067925,1,,0,440,2.643,172.515,21.513,13.643,52.117,5.302,45.643,1.076,16.919,2.692,0.275,3.100,0.000,0.311,0.000,0.000,0.000,0.000,2.451,43.704,0.000,0.000,51.430,1.375,0.000,0.000,0.000,4.315,4.488,0.961,0.000,0.000,0.000,0.000,23.200,3.410
33,Coniston Park,-48414.59646,-3772344.72,18.475474,-34.077163,10,,1,1853,3.268,6056.633,19.216,15.714,96.837,8.629,85.709,0.161,44.362,18.923,0.108,0.000,0.000,2.523,0.000,0.000,0.988,0.000,5.662,100.000,0.000,0.000,60.430,3.875,10.000,2.000,6.452,101.337,5.475,18.509,12.977,0.000,0.000,11.498,25.200,2.520
36,Croydon,-22683.6386,-3767692.472,18.754362,-34.036096,5,,1,889,2.949,495.251,26.116,14.818,80.685,15.613,45.748,2.472,32.198,13.749,0.361,0.000,0.000,0.914,34.463,0.000,5.245,0.000,24.403,56.311,29.676,10.204,47.770,6.000,23.000,1.000,1.190,46.820,3.442,13.602,72.273,0.000,1.000,11.193,38.700,35.370
72,Kalk Bay,-50948.25486,-3778052.917,18.447691,-34.1285,13,,1,738,2.868,2102.779,13.793,13.133,39.595,7.862,44.456,0.000,22.896,7.624,0.488,0.604,0.000,0.614,0.000,0.000,1.436,0.000,5.702,71.655,1.335,1.335,58.640,2.105,2.000,2.000,5.000,114.027,7.015,16.255,26.636,0.000,1.000,12.894,31.800,1.210
74,Kenridge,-33692.99082,-3748069.557,18.635899,-33.858895,7,,1,3744,3.573,2105.980,19.869,12.061,11.993,0.605,43.457,0.129,15.786,4.074,0.387,4.809,0.698,1.932,0.000,0.000,4.047,0.876,28.151,99.822,0.000,0.000,59.950,4.241,23.000,7.000,5.691,69.190,4.369,15.836,59.436,0.000,0.000,9.901,26.400,7.440
82,Kommetjie,-60272.73798,-3779230.416,18.346532,-34.138618,9,,1,3573,3.553,626.505,23.200,10.706,9.397,1.325,44.323,0.181,17.783,4.353,0.528,3.367,0.000,2.234,6.823,0.000,3.672,0.120,34.474,74.331,12.064,12.064,55.800,1.464,28.000,1.000,0.704,24.900,4.119,6.045,82.426,0.000,0.000,21.691,39.200,12.420
86,Kuils River Small Holdings,-25625.48685,-3758930.012,18.722763,-33.957036,3,,1,642,2.807,37.162,26.949,13.644,82.438,31.136,48.751,27.246,50.787,10.909,0.111,0.000,0.000,3.399,7.810,0.000,2.812,0.124,21.624,89.533,35.208,33.983,60.510,1.839,15.000,3.000,5.263,3.300,2.636,1.252,0.000,0.000,0.000,3.270,32.900,11.210
101,Meadowridge,-50404.89346,-3767566.051,18.454188,-34.03399,12,,1,3415,3.533,1834.484,17.562,13.223,12.610,1.096,46.776,0.000,17.171,2.717,0.295,23.856,0.342,1.374,0.000,2.516,0.803,0.000,27.908,99.424,2.214,2.214,60.240,7.895,11.000,1.000,0.667,80.589,5.375,14.994,4.609,0.000,0.000,5.553,16.900,25.570
105,Milnerton Non Urban,-46591.24151,-3735515.036,18.497183,-33.745237,9,,1,3519,3.546,36.963,27.326,11.803,60.127,10.262,52.668,3.951,23.852,5.309,0.193,0.000,0.000,170.252,16.312,5.908,22.375,7.430,116.990,99.454,7.441,7.172,59.720,5.034,34.000,4.000,2.740,1.534,1.248,1.229,609.853,52.322,0.000,746.446,33.700,186.560
109,Montevideo,-38785.63065,-3759713.221,18.580353,-33.96369,2,,1,870,2.939,786.671,31.288,15.097,97.546,4.401,65.531,0.000,23.027,11.037,0.308,0.000,0.080,9.453,3.017,1.389,0.000,0.000,3.848,100.000,21.014,17.027,67.500,5.167,2.000,0.000,0.000,28.035,8.056,3.480,47.986,4.107,0.000,11.308,18.400,12.550
123,Panorama,-39492.16436,-3750669.398,18.573115,-33.882132,7,,1,5621,3.750,2886.095,15.758,12.215,28.249,2.185,54.979,0.220,18.010,2.959,0.383,2.313,4.079,0.000,0.000,1.279,4.255,0.001,31.409,99.623,2.956,2.480,60.580,7.545,14.000,7.000,4.217,85.228,5.285,16.126,14.061,0.000,0.000,20.220,19.500,6.390
157,St James,-50288.76018,-3777168.703,18.454891,-34.120561,6,,1,524,2.719,1428.973,17.650,7.129,13.921,0.000,32.639,0.493,15.906,0.000,0.253,0.000,0.000,0.123,0.000,0.000,1.917,0.000,5.257,59.635,0.000,0.000,55.970,1.933,1.000,0.000,0.000,79.069,5.516,14.333,28.760,0.000,1.000,13.913,30.400,0.120
159,Steenberg Estate,-53383.30955,-3771916.488,18.421671,-34.073061,6,,1,853,2.931,217.963,21.596,10.142,10.164,2.196,34.404,0.000,15.553,1.938,0.166,0.000,0.000,0.000,0.000,1.013,1.210,0.000,18.050,24.215,7.683,0.000,38.640,1.857,5.000,1.000,2.564,9.965,2.161,4.612,3.943,0.000,0.000,16.474,24.500,0.000
161,Stonehurst Mountain Estate,-51685.7358,-3773188.875,18.439986,-34.084616,3,,1,721,2.858,1434.336,26.735,12.148,9.324,1.801,23.656,0.000,7.167,3.344,0.363,0.486,0.000,0.000,0.000,0.448,0.000,0.000,7.612,18.583,0.000,0.000,25.880,2.333,2.000,0.000,0.000,41.767,2.759,15.140,1.585,0.000,0.000,3.825,23.900,0.490
166,Sybrand Park,-46278.82078,-3758979.574,18.49932,-33.956773,5,,1,1636,3.214,3462.762,21.910,16.636,70.282,3.369,57.800,0.164,20.766,5.383,0.240,0.747,1.671,0.000,0.000,1.442,1.731,0.000,10.385,100.000,10.605,10.605,61.950,7.000,16.000,2.000,5.714,74.064,3.370,21.976,150.808,0.000,0.000,61.171,10.500,2.420
173,Tygerberg Hospital,-35703.74046,-3753874.92,18.613935,-33.911166,6,,1,2122,3.327,2058.410,15.103,40.815,74.871,0.000,0.000,0.000,0.000,0.000,0.018,120.048,0.000,0.654,0.000,0.472,0.000,0.000,3.038,100.000,0.000,0.000,60.000,8.333,11.000,3.000,6.000,48.510,16.458,2.947,178.022,0.000,0.000,31.026,23.700,120.700
184,Wingfield,-43072.0118,-3752978.456,18.534306,-33.902809,4,,1,3276,3.515,1108.377,11.499,18.322,93.452,5.144,74.784,2.335,16.974,8.777,0.046,0.000,0.000,3.830,0.000,2.789,0.753,0.000,18.891,44.321,9.143,9.143,44.590,3.941,8.000,3.000,4.478,22.666,3.547,6.391,203.802,0.000,0.000,125.564,13.200,3.830
26,Capri,-56775.6507,-3779336.493,18.384438,-34.139771,9,,2,3274,3.515,720.487,22.500,10.520,16.601,2.367,52.859,0.546,20.461,3.653,0.400,0.000,0.000,1.316,12.946,0.000,1.867,1.794,20.223,88.673,0.000,0.000,52.160,1.719,15.000,2.000,1.818,24.210,5.439,4.451,116.246,0.000,0.000,22.795,36.700,14.270
51,Firgrove,-19509.10789,-3769957.761,18.788688,-34.056581,7,,2,1912,3.281,3024.039,20.066,15.844,96.014,11.152,78.318,1.129,40.790,18.561,0.284,2.556,0.000,0.787,0.212,2.947,3.525,0.000,13.479,98.965,44.653,38.890,66.480,2.545,11.000,2.000,7.143,44.293,2.077,21.322,95.547,0.000,0.000,57.556,41.200,3.560
58,Glencairn,-52811.81532,-3781577.001,18.427276,-34.160176,9,,2,1682,3.226,1082.144,13.628,9.878,15.333,1.825,52.765,0.255,23.389,4.566,0.310,0.000,0.839,7.994,0.000,0.207,1.924,0.000,19.010,95.906,10.434,10.434,63.010,1.707,6.000,2.000,2.857,45.023,3.682,12.227,117.110,0.000,1.000,10.301,37.900,8.830
66,Heathfield,-48759.88038,-3768795.869,18.471932,-34.045154,19,,2,7395,3.869,2744.330,16.521,12.223,81.304,4.525,62.954,1.741,28.665,8.478,0.454,9.877,0.277,12.452,25.271,0.368,0.319,0.559,35.210,100.000,0.000,0.000,60.000,2.905,40.000,3.000,1.230,90.555,6.930,13.067,26.875,0.000,1.000,2.518,12.700,47.880
68,Helderberg Small Holdings,-9727.261109,-3777334.299,18.894559,-34.123221,10,,2,990,2.996,70.335,23.229,15.940,40.840,11.362,55.525,2.545,45.265,7.460,0.172,3.286,0.000,1.300,0.000,0.107,10.150,1.205,29.000,78.376,41.970,20.015,68.180,1.400,11.000,3.000,4.762,4.474,2.172,2.060,6.277,0.000,0.000,77.949,53.700,4.590
87,Lakeside,-49471.3836,-3773502.165,18.46396,-34.087547,14,,2,4053,3.608,1408.112,17.162,10.487,18.082,2.365,55.903,0.000,21.483,4.676,0.225,2.784,0.000,1.870,0.000,0.000,3.585,0.000,22.890,97.351,0.000,0.000,58.770,3.541,21.000,1.000,0.763,45.510,5.723,7.952,10.526,0.000,1.000,9.333,27.300,4.650
95,Maitland Garden Village,-47646.52777,-3756451.058,18.484661,-33.933917,9,,2,1859,3.269,3411.689,21.334,14.828,92.298,26.252,67.746,0.768,56.624,21.526,0.438,27.927,0.000,0.031,0.000,1.496,0.000,0.000,5.804,89.487,29.145,0.000,60.000,5.300,9.000,0.000,0.000,97.249,9.132,10.650,8.172,0.000,0.000,5.685,8.600,27.960
96,Mamre,-48877.15132,-3709871.769,18.47392,-33.513933,11,,2,9123,3.960,4875.713,25.733,16.230,97.820,17.572,76.776,1.000,63.680,26.500,0.391,10.364,1.742,1.359,6.087,0.000,1.039,2.601,29.297,95.586,2.042,2.042,59.480,8.167,27.000,1.000,0.680,78.567,5.018,15.658,133.486,18.226,0.000,18.174,55.200,19.550
114,Newlands,-50440.93721,-3761222.064,18.454163,-33.976797,34,,2,5430,3.735,1558.984,14.822,16.238,18.041,1.674,29.398,0.131,11.764,3.808,0.470,38.826,1.925,7.883,8.234,3.180,7.058,0.000,47.267,100.000,3.227,0.000,60.040,3.543,45.000,11.000,4.435,71.205,5.247,13.571,33.137,0.000,1.000,12.883,12.000,56.870
150,Silvermine,-52962.22145,-3774533.934,18.426078,-34.096678,4,,2,0,#NUM!,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.000,0.000,7.420,2.751,0.000,18.695,100.000,54.091,0.000,65.000,2.200,2.000,1.000,3.030,1.468,1.765,0.832,2.019,0.000,0.000,3.385,28.500,0.000
99,Marina da Gama,-48350.59465,-3773463.323,18.476106,-34.08725,9,,2,3588,3.555,3102.364,16.174,10.361,25.375,1.007,52.044,0.077,15.619,5.109,0.336,0.000,0.000,1.351,0.000,0.000,0.175,0.000,12.731,99.950,0.000,0.000,60.070,1.542,10.000,2.000,2.703,63.980,5.813,11.007,1.528,0.000,0.000,2.690,24.800,1.350
164,Sun Valley,-56151.62605,-3777713.816,18.391309,-34.125177,23,,2,5207,3.717,1881.546,22.231,11.511,15.273,1.669,63.798,0.241,23.642,4.501,0.453,4.093,0.000,19.203,2.948,1.787,3.019,0.000,33.184,92.717,1.010,0.000,57.080,1.901,24.000,5.000,3.247,55.652,4.641,11.992,79.357,0.000,0.000,24.680,34.700,26.240
165,Sunningdale,-47371.80805,-3742181.555,18.488401,-33.805288,15,,2,5669,3.754,3285.165,21.425,6.911,11.573,0.858,49.719,0.407,17.401,3.061,0.382,0.000,0.000,12.135,0.000,1.264,2.574,3.637,31.789,67.078,0.000,0.000,47.290,8.632,29.000,4.000,2.439,95.036,5.159,18.421,95.516,18.462,0.000,84.977,19.800,12.140
169,Tamboerskloof,-55192.34911,-3755968.057,18.403081,-33.929195,3,,2,3197,3.505,3069.201,10.943,15.522,21.339,0.747,24.161,0.040,15.284,2.977,0.455,10.446,0.000,0.188,0.000,0.000,0.373,0.000,13.130,99.927,0.000,0.000,59.700,2.600,29.000,2.000,1.923,99.853,7.921,12.606,1.960,1.115,0.000,1.394,2.700,10.640
11,Bergvliet,-50533.46662,-3768834.116,18.452723,-34.045415,16,,3,4733,3.675,1893.527,19.625,13.145,11.902,0.721,43.562,0.030,12.133,4.074,0.259,14.808,0.951,0.000,0.000,3.462,4.099,0.001,48.045,100.000,5.454,5.454,60.370,6.710,36.000,5.000,2.404,83.212,4.329,19.221,20.358,0.000,0.000,10.101,18.700,15.760
31,Clifton,-57676.85829,-3757045.336,18.376141,-33.938773,10,,3,542,2.734,882.981,11.305,11.871,19.431,4.036,41.691,0.000,27.604,2.191,0.302,0.000,0.000,0.991,0.000,0.000,3.017,0.000,5.315,100.000,0.000,0.000,60.000,3.429,1.000,0.000,0.000,39.098,4.516,8.659,21.650,13.986,0.000,18.649,7.600,0.990
50,Fairways,-46818.47854,-3766305.504,18.49309,-34.022792,14,,3,2990,3.476,5037.725,15.417,11.990,88.748,4.371,66.256,0.573,21.666,8.652,0.144,1.866,0.000,0.782,0.000,0.603,0.087,0.080,11.412,100.000,0.000,0.000,60.560,6.571,20.000,1.000,2.174,77.499,4.031,19.226,4.906,0.000,0.000,9.026,18.700,2.650
80,Klipheuwel,-27258.76514,-3731951.285,18.705927,-33.713767,4,,3,2441,3.387,1115.603,32.477,19.097,92.708,30.756,64.402,54.184,81.016,24.391,0.174,0.000,0.000,0.045,0.000,0.000,0.424,0.000,10.447,15.046,5.164,0.000,26.120,1.217,2.000,0.000,0.000,12.799,2.680,4.775,0.000,0.000,0.000,1.582,46.300,0.040
115,Noordhoek,-57663.73989,-3775628.072,18.375054,-34.106294,6,,3,4772,3.679,212.646,22.090,10.280,23.246,2.556,48.995,6.806,26.638,9.518,0.473,3.536,0.000,1.434,0.000,2.249,6.623,0.000,56.854,63.773,6.029,0.576,45.400,1.588,15.000,0.000,0.000,9.624,3.799,2.533,56.041,0.000,0.000,10.857,32.400,4.970
125,Parkwood,-46680.45603,-3767632.836,18.494513,-34.034764,47,,3,11941,4.077,9269.100,27.240,17.617,98.444,26.272,70.445,7.015,73.100,36.532,0.436,27.809,0.061,0.520,0.000,3.409,0.655,0.572,16.868,100.000,0.000,0.000,60.640,9.100,18.000,6.000,6.593,70.641,5.395,13.094,40.849,0.000,0.000,35.737,18.200,28.390
167,Table Mountain Nature Reserve,-54842.94849,-3760600.324,18.406565,-33.970975,10,,3,118,2.072,2.124,19.629,19.828,73.689,0.000,65.301,0.000,11.403,10.625,0.213,54.419,0.000,0.563,0.000,7.007,12.646,0.338,53.707,85.165,31.485,14.322,63.700,2.033,5.000,0.000,0.000,1.097,1.136,0.966,63.172,56.209,0.000,125.432,7.200,54.980
178,Vredehoek,-53188.15269,-3757075.05,18.424688,-33.939277,14,,3,5780,3.762,4125.526,13.482,14.603,17.023,1.426,32.426,0.066,19.298,3.599,0.438,5.048,0.541,0.347,0.000,1.815,0.001,0.000,26.304,100.000,0.111,0.000,60.150,3.821,46.000,2.000,1.342,106.357,5.665,18.776,0.000,4.414,0.000,7.196,3.400,5.940
188,Ysterplaat Airbase,-46544.18388,-3753130.728,18.49676,-33.904034,4,,3,892,2.950,320.882,23.917,22.962,81.823,0.000,87.605,0.000,1.784,2.914,0.196,1.573,0.099,9.605,0.000,4.294,1.050,0.000,6.254,100.000,71.954,64.676,75.560,8.400,4.000,1.000,2.381,15.115,6.716,2.251,32.798,1.587,0.000,85.681,8.700,11.280
41,Dreyersdal,-50461.34019,-3770274.439,18.453421,-34.058403,14,,4,2265,3.355,1420.156,13.235,9.367,15.935,1.180,47.726,0.042,27.443,3.312,0.462,14.975,0.000,17.850,0.000,3.451,0.145,0.000,17.124,93.657,16.508,16.508,57.910,1.377,18.000,6.000,8.219,45.766,4.263,10.736,8.093,0.000,0.000,4.644,23.200,32.830
49,Eversdal,-32116.12524,-3748643.465,18.652918,-33.864119,37,,4,17673,4.247,2312.506,18.023,14.727,12.640,1.451,44.476,0.171,13.066,2.966,0.355,38.032,14.921,4.746,0.000,2.423,13.549,5.623,112.791,96.613,1.741,1.741,58.420,3.640,56.000,15.000,2.964,66.208,4.486,14.758,144.201,0.000,0.000,46.044,27.700,57.700
